Dragen Version           Size (MB)  Install Date         Path
4.4.4                    846.30     2025-07-22 00:16:45  /opt/dragen/4.4.4

Bitstream Version        Size (MB)  Install Date         Path
07.031.779 (0x18101306)  601.18     2025-07-22 00:16:36  /opt/bitstream/07.031.779

To remove a dragen version, call `yum remove` on its Path.
=== GENOME FILE STATS ===
666436 ConvSK_mind20_ibd.genome
=== HIGH_PIHAT_PAIRS ===
FID1 IID1 FID2 IID2 Z0 Z1 Z2 PI_HAT
48 01-13 453 08-123 0.3363 0.6637 0.0000 0.3318
48 01-13 499 08-701 0.6018 0.3982 0.0000 0.1991
48 01-13 550 20-05 0.3426 0.6574 0.0000 0.3287
48 01-13 840 08-25 0.3673 0.6327 0.0000 0.3164
48 01-13 862 08-495 0.5002 0.4998 0.0000 0.2499
48 01-13 1094 08-86 0.5056 0.4944 0.0000 0.2472
49 01-11 274 07-04d 0.3293 0.6707 0.0000 0.3353
49 01-11 453 08-123 0.3023 0.6977 0.0000 0.3489
49 01-11 499 08-701 0.6117 0.3883 0.0000 0.1942
49 01-11 550 20-05 0.2977 0.7023 0.0000 0.3512
49 01-11 840 08-25 0.3479 0.6521 0.0000 0.3260
49 01-11 862 08-495 0.4737 0.5263 0.0000 0.2632
49 01-11 1094 08-86 0.4503 0.5497 0.0000 0.2748
50 01-27 274 07-04d 0.3493 0.6507 0.0000 0.3254
50 01-27 453 08-123 0.3180 0.6820 0.0000 0.3410
50 01-27 499 08-701 0.6117 0.3883 0.0000 0.1942
50 01-27 550 20-05 0.3065 0.6935 0.0000 0.3467
50 01-27 840 08-25 0.3428 0.6572 0.0000 0.3286
50 01-27 862 08-495 0.5020 0.4980 0.0000 0.2490
50 01-27 1094 08-86 0.4810 0.5190 0.0000 0.2595
51 01-28 274 07-04d 0.3563 0.6437 0.0000 0.3218
51 01-28 453 08-123 0.3270 0.6730 0.0000 0.3365
51 01-28 499 08-701 0.5664 0.4336 0.0000 0.2168
51 01-28 550 20-05 0.3063 0.6937 0.0000 0.3469
51 01-28 840 08-25 0.3607 0.6393 0.0000 0.3196
51 01-28 862 08-495 0.4870 0.5130 0.0000 0.2565
51 01-28 1094 08-86 0.4686 0.5314 0.0000 0.2657
52 01-29 271 08-128 0.6939 0.3061 0.0000 0.1530
52 01-29 274 07-04d 0.3572 0.6428 0.0000 0.3214
52 01-29 338 01-29t 0.0000 0.0000 1.0000 1.0000
52 01-29 453 08-123 0.3279 0.6721 0.0000 0.3361
52 01-29 499 08-701 0.5714 0.4286 0.0000 0.2143
52 01-29 550 20-05 0.3072 0.6928 0.0000 0.3464
52 01-29 840 08-25 0.3592 0.6408 0.0000 0.3204
